user_id,Requirements volaitlity,Risk,Documentation,user participation,Class,characteristics
1,low,low,high,low,Waterfall,"low requirements, high risk, high documentation, high stakeholder involvement"
2,low,medium,high ,low,Waterfall,"low requirements, high risk, high documentation, high stakeholder involvement"
3,low,low,high,low,Waterfall,"low requirements, high risk, high documentation, high stakeholder involvement"
4,medium,high,high ,low,Spiral ,"low requirements, high risk, medium documentation, high stakeholder involvement"
5,medium,high,high ,low,Spiral ,"low requirements, high risk, medium documentation, high stakeholder involvement"
6,medium,high,high ,low,Spiral ,"low requirements, high risk, medium documentation, high stakeholder involvement"
7,medium,high,high ,low,Spiral ,"low requirements, high risk, medium documentation, high stakeholder involvement"
8,high,low,low,medium,Scrum ,"high requirements volatility, low risk analysis, low documentation, high stakeholder involvement"
9,high ,low,low,high ,Scrum ,"high requirements volatility, low risk analysis, low documentation, high stakeholder involvement"
10,high,low,low,medium,Scrum ,"high requirements volatility, low risk analysis, low documentation, high stakeholder involvement"
11,high,low,low,medium,Scrum ,"high requirements volatility, low risk analysis, low documentation, high stakeholder involvement"
12,high,low,low,medium,Scrum ,"high requirements volatility, low risk analysis, low documentation, high stakeholder involvement"
13,high,low,low,medium,Scrum ,"high requirements volatility, low risk analysis, low documentation, high stakeholder involvement"
14,medium ,medium ,high ,medium ,Kanban,"medium requirements volatility, low risk analysis, high documentation, low stakeholder involvement"
15,high ,medium ,high,high,Kanban,"medium requirements volatility, low risk analysis, high documentation, low stakeholder involvement"
16,medium ,medium ,high ,medium ,Kanban,"medium requirements volatility, low risk analysis, high documentation, low stakeholder involvement"
17,medium ,medium ,high ,medium ,Kanban,"medium requirements volatility, low risk analysis, high documentation, low stakeholder involvement"
18,medium ,medium ,high ,medium ,Kanban,"medium requirements volatility, low risk analysis, high documentation, low stakeholder involvement"
19,medium ,medium ,high ,medium ,Kanban,"medium requirements volatility, low risk analysis, high documentation, low stakeholder involvement"
20,medium ,medium ,high ,medium ,Kanban,"medium requirements volatility, low risk analysis, high documentation, low stakeholder involvement"
21,5,5,8,2,Kanban,"medium requirements volatility, low risk analysis, high documentation, low stakeholder involvement"
22,6,2,8,3,Kanban,"medium requirements volatility, low risk analysis, high documentation, low stakeholder involvement"
23,5,4,8,3,Kanban,"medium requirements volatility, low risk analysis, high documentation, low stakeholder involvement"
24,5,3,8,3,Kanban,"medium requirements volatility, low risk analysis, high documentation, low stakeholder involvement"
25,5,3,8,3,Kanban,"medium requirements volatility, low risk analysis, high documentation, low stakeholder involvement"
26,5,2,8,4,Kanban,"medium requirements volatility, low risk analysis, high documentation, low stakeholder involvement"
27,5,3,8,3,Kanban,"medium requirements volatility, low risk analysis, high documentation, low stakeholder involvement"
28,7,2,8,2,Kanban,"medium requirements volatility, low risk analysis, high documentation, low stakeholder involvement"
29,2,9,8,9,Waterfall,"low requirements, high risk, high documentation, high stakeholder involvement"
30,3,9,7,8,Waterfall,"low requirements, high risk, high documentation, high stakeholder involvement"
31,2,9,7,9,Waterfall,"low requirements, high risk, high documentation, high stakeholder involvement"
32,3,8,8,9,Waterfall,"low requirements, high risk, high documentation, high stakeholder involvement"
33,2,9,8,9,Waterfall,"low requirements, high risk, high documentation, high stakeholder involvement"
34,2,9,7,8,Waterfall,"low requirements, high risk, high documentation, high stakeholder involvement"
35,1,9,8,7,Waterfall,"low requirements, high risk, high documentation, high stakeholder involvement"
36,2,9,6,8,Spiral ,"low requirements, high risk, medium documentation, high stakeholder involvement"
37,3,9,5,9,Spiral ,"low requirements, high risk, medium documentation, high stakeholder involvement"
38,2,9,6,8,Spiral ,"low requirements, high risk, medium documentation, high stakeholder involvement"
39,4,9,5,9,Spiral ,"low requirements, high risk, medium documentation, high stakeholder involvement"
40,3,8,7,9,Spiral ,"low requirements, high risk, medium documentation, high stakeholder involvement"
41,2,9,6,9,Spiral ,"low requirements, high risk, medium documentation, high stakeholder involvement"
