,original_class,rule,predicted_class,rule_acc,num_examples,num_correct,num_wrong
0,"20    Waterfall
23    Waterfall
28    Waterfall
31    Waterfall
39    Waterfall
Name: methodology, dtype: object","([('project_size', 'Small'), ('requirements_volatility', 'Fixed')], 'Waterfall', 20)",Waterfall,1.0,5,5,0
1,"0                        Scrum
7                       Kanban
14                       Scrum
16                       Scrum
19                       Scrum
21                       Scrum
24                       Scrum
26                       Scrum
27                       Scrum
32                       Scrum
33                       Scrum
34                       Scrum
37                       Scrum
38                       Scrum
42    Hybrid: Scrum and Kanban
47                       Scrum
Name: methodology, dtype: object","([('doc_needed', 'Low'), ('user_participation', 'High')], 'Scrum', 10)",Scrum,0.875,16,14,2
2,"3     Hybrid: Scrum and Waterfall
6                             RAD
36                            RAD
Name: methodology, dtype: object","([('prototyping', 'Medium'), ('requirements_clarity', 'understandable/early defined')], 'RAD', 9)",RAD,0.6666666666666666,3,2,1
3,"9     Kanban
44    Kanban
Name: methodology, dtype: object","([('delivery_speed', 'Medium'), ('fund_avail', 'Medium')], 'Scrum', 6)",Scrum,1.0,2,2,0
4,"35    Spiral
Name: methodology, dtype: object","([('prototyping', 'High'), ('project_size', 'Large')], 'Spiral', 5)",Spiral,1.0,1,1,0
5,"4    Hybrid: Scrum and Waterfall
5                          Scrum
Name: methodology, dtype: object","([('dev_expertise', 'Medium'), ('requirements_volatility', 'Changing')], 'Kanban', 4)",Kanban,0.5,2,1,1
6,"18    Waterfall
Name: methodology, dtype: object","([('dev_expertise', 'Medium')], 'Waterfall', 1)",Waterfall,1.0,1,1,0
7,"12    Hybrid: Scrum and Kanban
17                   Waterfall
30                       Scrum
43    Hybrid: Scrum and Kanban
Name: methodology, dtype: object","([('testing_intensity', 'After development is done (Non-intensive testing)'), ('project_size', 'Large')], 'Hybrid: Scrum and Waterfall', 4)",Hybrid: Scrum and Waterfall,0.5,4,2,2
8,"12    Hybrid: Scrum and Kanban
17                   Waterfall
30                       Scrum
43    Hybrid: Scrum and Kanban
Name: methodology, dtype: object","([('testing_intensity', 'After development is done (Non-intensive testing)'), ('requirements_volatility', 'Fixed')], 'Waterfall', 2)",zero coverage,0.0,0,0,0
9,"12    Hybrid: Scrum and Kanban
17                   Waterfall
30                       Scrum
43    Hybrid: Scrum and Kanban
Name: methodology, dtype: object","([('testing_intensity', 'After development is done (Non-intensive testing)')], 'Scrum', 1)",zero coverage,0.0,0,0,0
10,"15    Kanban
45     Scrum
Name: methodology, dtype: object","([('user_participation', 'Low'), ('requirements_volatility', 'Changing')], 'Scrum', 2)",Scrum,0.5,2,1,1
11,"15    Kanban
45     Scrum
Name: methodology, dtype: object","([('user_participation', 'Low')], 'Hybrid: Scrum and Waterfall', 1)",zero coverage,0.0,0,0,0
12,"25    Hybrid: Scrum and Waterfall
Name: methodology, dtype: object","([('dev_expertise', 'Low')], 'Kanban', 4)",Kanban,1.0,1,1,0
13,"25    Hybrid: Scrum and Waterfall
Name: methodology, dtype: object","([('team_expertise', 'Medium')], 'Scrum', 2)",zero coverage,0.0,0,0,0
14,"29    Kanban
Name: methodology, dtype: object","([('delivery_speed', 'Low')], 'Spiral', 3)",Spiral,1.0,1,1,0
15,"29    Kanban
Name: methodology, dtype: object","([('fund_avail', 'Low')], 'RAD', 3)",zero coverage,0.0,0,0,0
16,"46    Scrum
Name: methodology, dtype: object","([('risk_analysis', 'Low')], 'Hybrid: Scrum and Kanban', 2)",Hybrid: Scrum and Kanban,1.0,1,1,0
17,"11    Hybrid: Scrum and Kanban
Name: methodology, dtype: object","([('task_visualisation', 'Medium')], 'Hybrid: Scrum and Kanban', 1)",Hybrid: Scrum and Kanban,1.0,1,1,0
18,"11    Hybrid: Scrum and Kanban
Name: methodology, dtype: object","([('requirements_volatility', 'Fixed')], 'Hybrid: Scrum and Waterfall', 1)",zero coverage,0.0,0,0,0
19,"1     Kanban
40    Kanban
Name: methodology, dtype: object","([('dev_time', 'Non-Intensive')], 'Kanban', 4)",Kanban,1.0,2,2,0
20,"10                         Kanban
13    Hybrid: Scrum and Waterfall
Name: methodology, dtype: object","([('requirements_clarity', 'understandable/early defined')], 'Hybrid: Scrum and Waterfall', 2)",Hybrid: Scrum and Waterfall,0.5,2,1,1
21,"2     Scrum
22    Scrum
41    Scrum
Name: methodology, dtype: object","([('project_size', 'Medium')], 'Scrum', 2)",Scrum,1.0,3,3,0
22,"2     Scrum
22    Scrum
41    Scrum
Name: methodology, dtype: object","([('project_size', 'Small')], 'RAD ', 1)",zero coverage,0.0,0,0,0
23,"2     Scrum
22    Scrum
41    Scrum
Name: methodology, dtype: object","([('risk_analysis', 'Medium')], 'Hybrid: Scrum and Kanban', 2)",zero coverage,0.0,0,0,0
24,"8    Hybrid: Scrum and Kanban
Name: methodology, dtype: object","([('team_size', 'Large (16....)')], 'Hybrid: Scrum and Waterfall', 1)",Hybrid: Scrum and Waterfall,1.0,1,1,0
25,"8    Hybrid: Scrum and Kanban
Name: methodology, dtype: object","([('user_participation', 'Medium')], 'Scrum', 1)",zero coverage,0.0,0,0,0
26,"8    Hybrid: Scrum and Kanban
Name: methodology, dtype: object","([('requirements_volatility', 'Changing')], 'Kanban', 1)",zero coverage,0.0,0,0,0
